"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2638465,"June 28, 2023","North Carolina",Greensboro,"5100 Bayberry St",3,2,0,0,1,N/A
2606205,"May 23, 2023",Texas,Texarkana,"563 Lemon Acre",4,0,0,0,1,N/A
2374337,"July 31, 2022",Michigan,Detroit,"11637 Coyle St",2,6,0,0,1,N/A
1950346,"March 11, 2021","New Mexico","Ohkay Owingeh","89 Co Rd 56",1,3,0,0,1,N/A
1924338,"February 9, 2021",Minnesota,Buffalo,"755 Crossroads Campus Dr",1,4,0,0,1,N/A
1649473,"March 31, 2020",Georgia,Macon,"571 Moreland Ave",3,1,0,0,1,N/A
1612716,"February 3, 2020",California,Lebec,"8968 Grapevine Rd",1,5,0,0,1,N/A
1530276,"October 19, 2019",Texas,"El Paso","3812 Truman Ave",1,4,0,0,1,N/A
1478869,"August 14, 2019",Pennsylvania,Philadelphia,"3716 N 15th St",0,6,0,0,1,N/A
1309114,"January 23, 2019",Florida,Sebring,"1901 US 27 S",5,0,0,0,1,N/A
